frame.time_relative,ip.src,ip.dst,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,ip.ttl,tcp.len,tcp.hdr_len,udp.length
0.000000000,92.60.78.238,192.168.1.4,47516,51067,,,53,73,20,
0.001248000,192.168.1.4,92.60.78.238,51067,47516,,,128,0,20,
0.084262000,92.60.78.238,192.168.1.4,47516,51067,,,53,0,20,
0.097695000,92.60.78.238,192.168.1.4,47516,51067,,,53,58,20,
0.097697000,92.60.78.238,192.168.1.4,47516,51067,,,53,0,20,
0.097697000,192.168.1.4,92.60.78.238,51067,47516,,,128,0,20,
0.580099000,92.60.78.238,192.168.1.4,47516,51072,,,53,73,20,
0.581478000,192.168.1.4,92.60.78.238,51072,47516,,,128,0,20,
0.655539000,92.60.78.238,192.168.1.4,47516,51074,,,53,111,20,
0.655540000,92.60.78.238,192.168.1.4,47516,51074,,,53,0,20,
0.655540000,192.168.1.4,92.60.78.238,51074,47516,,,128,0,20,
0.657260000,192.168.1.4,92.60.78.238,51074,47516,,,128,0,20,
0.663546000,92.60.78.238,192.168.1.4,47516,51072,,,53,0,20,
0.677218000,92.60.78.238,192.168.1.4,47516,51072,,,53,58,20,
0.677219000,92.60.78.238,192.168.1.4,47516,51072,,,53,0,20,
0.677219000,192.168.1.4,92.60.78.238,51072,47516,,,128,0,20,
0.689956000,92.60.78.238,192.168.1.4,47516,51074,,,53,0,20,
1.067045000,92.60.78.238,192.168.1.4,47516,49726,,,53,0,20,
1.067047000,192.168.1.4,92.60.78.238,49726,47516,,,128,0,20,
1.322489000,92.60.78.238,192.168.1.4,47516,49346,,,53,0,20,
1.322490000,192.168.1.4,92.60.78.238,49346,47516,,,128,0,20,
1.323599000,92.60.78.238,192.168.1.4,47516,49336,,,53,0,20,
1.323599000,192.168.1.4,92.60.78.238,49336,47516,,,128,0,20,
1.578529000,92.60.78.238,192.168.1.4,47516,49345,,,53,0,20,
1.578529000,192.168.1.4,92.60.78.238,49345,47516,,,128,0,20,
1.581281000,92.60.78.238,192.168.1.4,47516,49344,,,53,0,20,
1.581281000,192.168.1.4,92.60.78.238,49344,47516,,,128,0,20,
1.582555000,92.60.78.238,192.168.1.4,47516,49342,,,53,0,20,
1.582556000,192.168.1.4,92.60.78.238,49342,47516,,,128,0,20,
2.094135000,92.60.78.238,192.168.1.4,47516,49954,,,53,0,20,
2.094136000,192.168.1.4,92.60.78.238,49954,47516,,,128,0,20,
2.348682000,92.60.78.238,192.168.1.4,47516,49306,,,53,0,20,
2.348682000,192.168.1.4,92.60.78.238,49306,47516,,,128,0,20,
3.403487000,92.60.78.238,192.168.1.4,47516,49956,,,53,0,20,
3.403488000,192.168.1.4,92.60.78.238,49956,47516,,,128,0,20,
4.233465000,92.60.78.238,192.168.1.4,47516,50484,,,53,0,20,
4.233466000,192.168.1.4,92.60.78.238,50484,47516,,,128,0,20,
4.234229000,92.60.78.238,192.168.1.4,47516,49980,,,53,0,20,
4.234229000,192.168.1.4,92.60.78.238,49980,47516,,,128,0,20,
4.234779000,92.60.78.238,192.168.1.4,47516,49972,,,53,0,20,
4.234779000,192.168.1.4,92.60.78.238,49972,47516,,,128,0,20,
4.268671000,92.60.78.238,192.168.1.4,47516,49976,,,53,0,20,
