frame.time_relative,ip.src,ip.dst,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,ip.ttl,tcp.len,tcp.hdr_len,udp.length
0.000000000,92.60.78.238,192.168.1.4,,,47516,60819,53,,,814
0.027836000,192.168.1.4,92.60.78.238,,,60819,47516,128,,,101
0.031122000,92.60.78.238,192.168.1.4,,,47516,60819,53,,,184
0.050295000,92.60.78.238,192.168.1.4,,,47516,60819,53,,,1313
0.050712000,192.168.1.4,92.60.78.238,,,60819,47516,128,,,96
0.097695000,92.60.78.238,192.168.1.4,,,47516,60819,53,,,88
0.382211000,92.60.78.238,192.168.1.4,47516,49982,,,53,0,20,
0.382212000,192.168.1.4,92.60.78.238,49982,47516,,,128,0,20,
0.855991000,192.168.1.4,92.60.78.238,49982,47516,,,128,98,20,
0.855992000,192.168.1.4,92.60.78.238,49982,47516,,,128,73,20,
0.856298000,192.168.1.4,92.60.78.238,49982,47516,,,128,1494,20,
0.856653000,192.168.1.4,92.60.78.238,49982,47516,,,128,1494,20,
0.856653000,192.168.1.4,92.60.78.238,49982,47516,,,128,1494,20,
0.856878000,192.168.1.4,92.60.78.238,49982,47516,,,128,82,20,
0.901228000,92.60.78.238,192.168.1.4,47516,49982,,,53,0,20,
0.901229000,92.60.78.238,192.168.1.4,47516,49982,,,53,0,20,
0.901229000,92.60.78.238,192.168.1.4,47516,49982,,,53,0,20,
0.901779000,92.60.78.238,192.168.1.4,47516,49982,,,53,0,20,
0.901779000,92.60.78.238,192.168.1.4,47516,49982,,,53,0,20,
0.901780000,92.60.78.238,192.168.1.4,47516,49982,,,53,0,20,
0.958937000,92.60.78.238,192.168.1.4,47516,49982,,,53,69,20,
0.958938000,92.60.78.238,192.168.1.4,47516,49982,,,53,73,20,
0.958938000,192.168.1.4,92.60.78.238,49982,47516,,,128,0,20,
0.959863000,92.60.78.238,192.168.1.4,47516,49982,,,53,151,20,
0.996055000,192.168.1.4,92.60.78.238,,,58755,47516,128,,,1313
0.996056000,192.168.1.4,92.60.78.238,,,58755,47516,128,,,1313
0.996056000,192.168.1.4,92.60.78.238,,,58755,47516,128,,,1313
0.996056000,192.168.1.4,92.60.78.238,,,58755,47516,128,,,143
1.003310000,192.168.1.4,92.60.78.238,49982,47516,,,128,0,20,
1.043629000,92.60.78.238,192.168.1.4,,,47516,58755,53,,,103
1.043630000,92.60.78.238,192.168.1.4,,,47516,58755,53,,,103
1.043631000,92.60.78.238,192.168.1.4,,,47516,58755,53,,,1313
1.043631000,92.60.78.238,192.168.1.4,,,47516,58755,53,,,1313
1.045418000,92.60.78.238,192.168.1.4,,,47516,58755,53,,,1313
1.045419000,92.60.78.238,192.168.1.4,,,47516,58755,53,,,477
1.045420000,92.60.78.238,192.168.1.4,,,47516,58755,53,,,899
1.045420000,92.60.78.238,192.168.1.4,,,47516,58755,53,,,251
1.047861000,192.168.1.4,92.60.78.238,,,58755,47516,128,,,1313
1.047861000,192.168.1.4,92.60.78.238,,,58755,47516,128,,,94
1.068793000,92.60.78.238,192.168.1.4,,,47516,58755,53,,,87
1.076389000,192.168.1.4,239.255.255.250,,,50138,1900,4,,,145
1.080330000,192.168.1.4,92.60.78.238,,,58755,47516,128,,,95
1.097820000,92.60.78.238,192.168.1.4,,,47516,58755,53,,,183
1.127380000,192.168.1.4,92.60.78.238,,,58755,47516,128,,,95
2.055529000,92.60.78.238,192.168.1.4,47516,50246,,,53,73,20,
